"date","price_sek","sek_per_usd","price_usd","ratio","prediction","actual"
2000-04-01,24,8.84,2.51,9.56175298804781,0.0784842005547013,0.150913383377467
2001-04-01,24,10.28,2.54,9.44881889763779,-0.0843105107095186,0.011605546120308
2002-04-01,26,10.4,2.49,10.4417670682731,0.00400802139753864,-0.220742589776671
2003-04-01,30,8.34,2.71,11.070110701107,0.28318553039989,-0.0916000444970608
2004-05-01,30,7.61,2.9,10.3448275862069,0.307023472796133,-0.0225654416694709
2005-06-01,31,7.4402,3.06,10.1307189542484,0.308674558316733,0.0358668602150716
2006-01-01,33,7.7119,3.15,10.4761904761905,0.306340518209743,-0.0570089234417586
2006-05-01,33,7.28455,3.1,10.6451612903226,0.379349782997943,-0.0339699557506501
2007-01-01,32,7.04125,3.22,9.93788819875776,0.344568832016623,-0.0360917947587112
2007-06-01,33,6.79165,3.41,9.67741935483871,0.354101353702979,-0.130480828110054
2008-06-01,38,5.96085,3.57,10.6442577030812,0.579807475576817,0.28280722873465
2009-07-01,39,7.90915,3.57,10.9243697478992,0.322975733245427,-0.110449843197651
2010-01-01,39,7.0821,3.58,10.8938547486034,0.430628371822017,0.040328798831059
2010-07-01,48.4,7.37355,3.733333333,12.9642857154432,0.564299051452854,-0.151777888812013
2011-07-01,48.4,6.3352,4.065,11.9065190651907,0.630964686808746,0.0902866195523433
2012-01-01,41,6.9338,4.19722,9.76837049285003,0.34274166186615,0.00631134611258655
2012-07-01,39.97301987,6.9777,4.3275,9.23697743963027,0.280495365637055,-0.0943905288630464
2013-01-01,40.55930138,6.3492,4.367395833,9.28683886940916,0.380269401804564,0.0624425584227637
2013-07-01,41.61,6.7583,4.556666667,9.13167520050244,0.300977781715236,-0.0431085266629283
2014-01-01,40.7,6.47315,4.624166667,8.8015858706937,0.30726906535087,0.0545399127775599
2014-07-01,40.7,6.836,4.795,8.48800834202294,0.216451618859803,0.180888162118031
2015-01-01,40.7,8.19145,4.79,8.49686847599165,0.03660675365435,0.039636397973005
2015-07-01,43.7,8.52265,4.79,9.1231732776618,0.0680903653343399,0.00924997105996228
2016-01-01,45,8.60185,4.93,9.12778904665315,0.0593462053113782,-0.000814109728799028
2016-07-01,44.94,8.59485,5.04,8.91666666666667,0.036758997998362,0.0598053965084904
2017-01-01,48,9.12455,5.06,9.48616600790514,0.0388659444244825,-0.0808755155059337
2017-07-01,48.97,8.41565,5.3,9.23962264150943,0.0934079774780496,-0.0483042829299163
2018-01-01,49.1,8.0188,5.28,9.29924242424242,0.148144152334121,0.0875620143402864
2018-07-01,51,8.7526,5.51,9.25589836660617,0.0559102104710321,0.0174024783804532
2019-01-01,52,8.90625,5.58,9.31899641577061,0.0453016647192839,0.0619087505304976
2019-07-09,51,9.47505,5.74,8.88501742160279,-0.0642956056065707,-0.00168478688220475
2020-01-14,51.5,9.4591,5.67,9.08289241622575,-0.040584551187187,-0.0344919256796161
2020-07-01,52.6,9.1384,5.71,9.21190893169877,0.00801178063814501,-0.0968022536116186
2021-01-01,52.88,8.29525,5.66,9.34275618374558,0.118918241502358,NA
