A;B;C;D;E;F;G;I;J;K;L
0.127281187;0.07646842;0.078314246;0.099375352;0.155460552;0.100795259;0.093189533;0.10853915;0.107468266;0.10344417;0.162054707
0.004927164;0.00167956;0.003700899;-0.00315083;0.024890683;0.000867493;-0.0114351;-0.010928596;0.025677632;-0.002272093;0.079497946
0.019683081;0.014868211;0.009387812;-0.001347271;0.027896291;0.003613782;-8.81674E-05;0.019206504;0.027238573;0.008946369;-0.032355976
0.018675958;0.020895104;0.022615226;0.016344156;-0.071200511;0.015029121;-0.009539597;0.005845374;0.008381763;0.018015927;-0.075090132
0.063414968;0.054950545;0.055660956;0.047835383;0.045032657;0.057915666;0.040260218;0.083302357;0.051630895;0.054476685;0.021800223
0.036281763;0.035038548;0.038695111;0.038148608;0.020522087;0.042608269;0.019513797;0.048265126;0.029847233;0.03711382;-0.000392115
0.063691104;0.075858796;0.075097269;0.081119784;0.1463574;0.075123224;0.085967917;0.141416239;0.075662402;0.091122459;0.12130587
-0.007586811;-0.02836688;-0.025643136;-0.021921746;-0.009119407;-0.025245911;-0.026286567;0.009305861;-0.004063591;-0.011792607;0.006511519
0.048221111;0.040042442;0.044148664;0.038546024;0.063149183;0.053792769;0.04308819;0.051510786;0.05690754;0.041942523;0.041206435
-0.003478261;-0.01748565;-0.005122601;-0.014893165;0.030237581;-0.016652614;-0.017914717;-0.010413957;-0.007836515;-0.003758572;0.055419138
-0.04182852;-0.055386597;-0.057258143;-0.055376003;-0.02384696;-0.041641398;-0.046338592;-0.049565037;-0.040603416;-0.057438884;-0.032645119
-0.007576968;0.015752143;0.015075645;0.012192876;-0.03114094;0.015277601;0.002857955;-0.006358775;0.015302527;0.01333686;-0.013482366
-0.0244102;-0.032242877;-0.025073928;-0.032508307;-0.030202272;-0.035368619;-0.030423431;-0.067582119;-0.034673434;-0.035558675;-0.024607157
0.018685249;0.021937674;0.023146351;0.016249279;0.013142857;0.012909035;0.038380938;-0.028087423;0.017173173;0.008155615;-0.004554415
0.078757794;0.0688044;0.078580035;0.083085322;0.069937958;0.073973023;0.062461116;0.081172756;0.098329033;0.085941234;0.080046448
0.023007856;0.034186526;0.029293501;0.022644911;0.040326832;0.02212657;0.050364765;0.013639633;0.028803744;0.026327994;0.050605618
-0.065935272;-0.060082561;-0.05413136;-0.058660502;-0.039523689;-0.055929686;-0.025334309;-0.049444947;-0.089122316;-0.045074859;-0.026316962
-0.029774489;-0.011011666;-0.007153451;-0.009936092;-0.043542613;-0.037305195;-0.011002673;-0.062372983;-0.075749118;-0.014268548;-0.070427711
-0.025482719;-0.013910472;-0.009354364;-0.016763523;-0.019893528;-0.028211842;-0.017788294;-0.029661052;-0.029150149;-0.029138516;-0.0178901
-0.22378882;-0.207802633;-0.220511144;-0.22236874;-0.20754717;-0.19703589;-0.223027969;-0.215657208;-0.248655704;-0.234934226;-0.245700438
-0.091141874;-0.078739052;-0.091138913;-0.089335824;-0.082972583;-0.071421272;-0.077645245;-0.138334573;-0.084107084;-0.095852317;-0.106755975
0.110935024;0.104157777;0.104656675;0.118612011;0.04563336;0.095408812;0.083200794;0.09319754;0.090239031;0.107545594;0.008343299
-0.035456491;-0.032894573;-0.038167216;-0.041782643;-0.033860045;-0.021838912;-0.03825998;-0.096744802;-0.076668123;-0.034197645;-0.022803651
-0.023382559;-0.019275754;-0.009779376;-0.021622596;-0.068146417;-0.02961342;-0.044096061;-0.017835852;-0.050469053;-0.01929113;-0.094433327
0.09372972;0.070112418;0.071122486;0.09115675;0.136230673;0.087082246;0.101427941;0.094603421;0.08909257;0.088138046;0.101753107
-0.057892012;-0.038453907;-0.034244073;-0.049288881;-0.045972784;-0.044070633;-0.023288041;-0.010427582;-0.06759646;-0.0544062;-0.035221712
0.063543561;0.068415266;0.068898092;0.074741864;0.038893986;0.064166145;0.050424776;0.056048808;0.089102451;0.071355598;0.086447153
0.076302489;0.082908809;0.079294573;0.081624192;0.068072512;0.087320204;0.069265072;0.131552574;0.093177021;0.076571104;0.055511416
0.006932366;0.013090957;0.007193075;0.007878983;-0.005542085;0.011699602;0.013589073;0.026869162;0.015069108;0.00223;-0.006958392
0.006904951;0.012191192;0.006193928;0.00304235;-0.000373575;0.001487487;-0.014029303;0.042603276;-0.002044366;0.006307012;-0.026606106
0.03277996;0.025314651;0.023690654;0.025555391;0.047333098;0.021086083;0.023723266;0.03991913;0.030662897;0.018031705;0.03251308
0.032953555;0.030585855;0.035713952;0.023479006;0.066104553;0.038412685;0.047136303;0.018383544;0.048024534;0.053508875;0.079625573
-0.01974706;-0.02246359;-0.019711521;-0.014400536;-0.030686492;-0.035354233;-0.047158034;-0.045328032;-0.031865626;-0.038996952;-0.084933359
-0.029570344;-0.026995967;-0.02058995;-0.021455269;-0.016318538;-0.01922487;-0.013707943;-0.024173261;-0.030377523;-0.024524077;-0.015063193
0.074893033;0.075255803;0.076506287;0.081650876;0.158925017;0.077802106;0.0913238;0.072643152;0.079047332;0.073163121;0.190621495
0.12824069;0.112866962;0.10821423;0.09685164;0.285231506;0.099949696;0.100711989;0.168234414;0.114472149;0.104373795;0.367126275
-0.027378455;-0.020194586;-0.014723826;-0.031084779;0.134758155;-0.026138043;-0.022097027;0.028065778;-0.018306313;-0.026669259;0.089052583
0.054148099;0.017041086;0.024466575;0.037161142;0.212133228;0.02920565;0.041117228;0.007951338;0.04016045;0.046911244;0.223204589
-0.017670063;0.001328014;-0.019214976;0.002681556;0.005724567;0.010880438;-0.004857254;0.041494103;0.031464772;-0.00766703;-0.001493058
-0.049522708;-0.027819503;-0.0150736;-0.038445579;-0.076597821;-0.032428867;-0.051837054;-0.026787856;-0.028767221;-0.052508161;-0.09183714
0.054270193;0.036185571;0.02175096;0.050641925;-0.003522367;0.059926438;0.053508982;0.056931239;0.059473718;0.044556679;0.008587683
0.028948156;0.011394356;0.013314977;0.015916372;0.028310583;0.020296234;0.042296789;-0.009842665;0.022849836;0.023347746;0.019525978
0.051081642;0.031147519;0.031095793;0.041926941;0.03911003;0.027673624;0.031837243;0.088708478;0.083323246;0.047118436;0.074298067
0.088907659;0.06299811;0.051620369;0.100444307;0.134493142;0.095928449;0.08597966;0.145155231;0.096819836;0.087957965;0.097082856
-0.027568636;-0.031581733;-0.035806883;-0.037536585;-0.027720436;-0.034868305;-0.059886846;-0.068130077;-0.005108529;-0.034365938;-0.052399004
-0.018330966;-0.022719568;-0.030217304;-0.018524776;0.002426448;-0.025993254;-0.025565195;-0.002997845;-0.020822843;-0.016274018;-0.037250229
-0.094202481;-0.079121523;-0.093661679;-0.089788487;-0.105446294;-0.086579747;-0.094807735;-0.064610018;-0.07369151;-0.100422311;-0.134586202
-0.019896461;-0.016257372;-0.032675683;-0.011647415;-0.095383054;-0.013038481;-0.008717496;-0.029731739;-0.014681199;-0.017433591;-0.08938793
0.027459193;0.034055465;0.019156046;0.026207814;0.115348663;0.042761042;0.04750349;0.007899453;0.044956796;0.036665137;0.117929906
0.007861292;-0.001289012;-0.005122005;0.006550727;0.01340932;0.001266899;0.000779056;0.084598648;0.019711383;0.005790369;-0.039301629
